Date,ID,SYMBOL,MIC,FREE_FLOAT_PERCENTAGE,EST_VOL,MDV_63,Open,High,Low,Close,Volume,PxAdjFactor,SharesAdjFactor
20140805,BBG001NY45K9,WPX,XNYS,99.3992,0.28526,61367236.0,21.17,21.175,20.475,20.77,3875103.0,1.0,1.0
20140805,BBG000BNGTQ7,LB,XNYS,83.6437,0.14497,73008970.0,58.49,59.28,58.18,58.75,1263000.0,1.6390852,1.0
20140805,BBG000F86GP6,MCO,XNYS,99.5428,0.145,61367164.0,87.72,88.175,86.54,86.86,651007.0,1.104998,1.0
20140805,BBG003641015,ADT,XNYS,99.6098,0.22665,61466610.0,34.49,34.7,34.23,34.46,1908821.0,1.0329652,1.0
20140805,BBG000CZWZ05,BMRN,XNGS,99.3335,0.24014,61758364.0,63.91,65.5,63.74,64.96,1251458.0,1.0,1.0
20140805,BBG000C75N77,CMA,XNYS,99.0064,0.11727,62155444.0,48.74,49.36,48.61,48.77,1061870.0,1.1568127,1.0
20140805,BBG000QFJ7H3,OAS,XNYS,95.6409,0.22077,64365868.0,52.86,53.19,50.89,51.51,2366386.0,1.0,1.0
20140805,BBG000JKCWS0,CLB,XNYS,98.4309,0.2359699999999999,62630972.0,149.55,149.55,146.74,149.45,452245.0,2.1480627,0.5
20140805,BBG000BQSQ38,PAYX,XNGS,89.3897,0.12752,69065460.0,40.37,40.84,40.37,40.52,2574021.0,1.3116387,1.0
20140805,BBG000JH6683,ISIS,XNGS,99.2789,0.5013000000000001,62208610.0,31.69,32.4,30.5,32.31,1572346.0,1.0,1.0
20140805,BBG000BV75B7,TIF,XNYS,86.5542,0.19171,71545210.0,97.05,98.08,96.96,97.15,476499.0,1.132098,1.0
20140805,BBG000BHCP19,MCHP,XNGS,97.2972,0.12244,63785290.0,46.1,46.54,45.92,46.21,1400255.0,1.3303639,1.0
20140805,BBG000CPHYL4,THC,XNYS,98.5367,0.3361,63003044.0,54.01,56.72,53.82,54.83,5118110.0,0.25,4.0
